"first","last","seasons","games","AB","runs","hits","doubles","triples","HR","RBI","BB","SO","BA","OBP","SP","AP","BR","ABRuns","Runs.Created","SB","CS","Stolen.Base.Runs","Fielding.Average","Fielding.Runs","Primary.Position.Played","Total.Player.Rating","Hall.Fame.Membership"
"HANK","BAUER",14,1544,5145,833,1424,229,57,164,703,521,549,0.277,0.347,0.439,114,68,87,801,269,70,26,0.982,-65,"O",-4.7,"not a member"
"FRANK","BAUMHOLTZ",10,1019,3477,450,1010,165,51,25,272,258,233,0.29,0.342,0.389,95,-26,-26,470,184,54,NA,0.98,-20,"O",-8.9,"not a member"
"DON","BAYLOR",19,2292,8198,1236,2135,366,28,338,1276,805,30,0.26,0.346,0.436,119,181,206,1247,175,24,39,0.977,-37,"D",13.8,"not a member"
"JIM","BEAUCHAMP",10,393,661,79,153,18,4,14,90,54,119,0.231,0.292,0.334,76,-21,-22,66,293,88,2,0.98,-3,"1",-3.6,"not a member"
"GINGER","BEAUMONT",12,1463,5660,955,1759,182,82,39,617,425,98,0.311,0.362,0.393,123,168,155,939,154,NA,NA,0.956,-26,"O",5.3,"not a member"
"GLENN","BECKERT",11,1320,5208,685,1473,196,31,22,360,260,219,0.283,0.319,0.345,81,-89,-133,565,266,60,1,0.973,-7,"2",-4.9,"not a member"
"JAKE","BECKLEY",20,2386,9526,1600,2930,473,243,86,1575,616,245,0.308,0.361,0.435,126,289,311,1684,191,NA,NA,0.981,19,"1",24.5,"selected by members"
"MARK","BELANGER",18,2016,5784,676,1316,175,33,20,389,576,660,0.228,0.302,0.28,68,-245,-229,533,72,116,64,0.977,169,"S",15.7,"not a member"
"BUDDY","BELL",18,2405,8995,1151,2514,425,56,201,1106,836,632,0.279,0.343,0.406,108,102,103,1218,281,120,24,0.964,191,"3",22.9,"not a member"
"GUS","BELL",15,1741,6478,865,1823,311,66,206,942,470,548,0.281,0.333,0.445,102,37,9,962,184,68,NA,0.985,2,"O",-8,"not a member"
"JOHNNY","BENCH",17,2158,7658,1091,2048,381,24,389,1376,891,77,0.267,0.345,0.476,127,264,259,1240,305,81,26,0.99,-69,"C",25.2,"Select by writers"
"BRUCE","BENEDICT",12,982,2878,214,696,98,6,18,260,328,226,0.242,0.322,0.299,71,-90,-108,282,24,54,29,0.99,47,"C",-3,"not a member"
"BENNY","BENGOUGH",10,411,1125,83,287,46,12,0,108,62,410,0.255,0.295,0.317,59,-71,-70,107,107,131,26,0.988,45,"C",-0.8,"not a member"
"JUAN","BENIQUEZ",17,1500,4651,610,1274,190,30,79,476,349,490,0.274,0.329,0.379,95,-22,-30,553,9,117,7,0.977,-60,"O",-14.1,"not a member"
"CHARLIE","BENNETT",15,1062,3821,549,978,203,67,55,533,478,503,0.256,0.34,0.387,119,111,93,532,246,NA,NA,0.942,57,"C",19.6,"not a member"
"JOHNNY","BERARDINO",11,912,3028,334,755,167,23,36,387,284,243,0.249,0.316,0.355,77,-93,-102,339,167,64,NA,0.968,1,"2",-6.6,"not a member"
"MOE","BERG",15,663,1813,150,441,71,6,6,206,78,55,0.243,0.278,0.299,49,-140,-139,156,15,88,32,0.986,29,"C",-6.8,"not a member"
"BILL","BERGEN",11,947,3028,138,516,45,21,2,193,88,648,0.17,0.194,0.201,20,-298,-290,134,135,NA,NA,0.972,117,"C",-8.9,"not a member"
"WALLY","BERGER",11,1350,5163,809,1550,299,59,242,898,435,586,0.3,0.359,0.522,140,222,255,977,218,NA,NA,0.974,26,"O",20.8,"not a member"
"DAVE","BERGMAN",17,1349,2679,312,690,100,16,54,289,380,318,0.258,0.351,0.367,102,9,16,364,97,37,22,0.992,15,"1",-1.1,"not a member"
"TONY","BERNAZARD",10,1071,3700,523,970,177,30,75,391,428,529,0.262,0.341,0.387,100,4,5,508,18,94,33,0.978,-48,"2",0.8,"not a member"
"DALE","BERRA",11,853,2553,236,603,109,9,49,278,210,389,0.236,0.297,0.344,76,-78,-84,258,195,44,2,0.959,21,"S",-1.2,"not a member"
"YOGI","BERRA",19,2120,7555,1175,2150,321,49,358,1430,704,380,0.285,0.35,0.482,126,209,238,1284,184,61,28,0.989,57,"C",35.5,"Select by writers"
"RAY","BERRES",11,561,1330,96,287,37,3,3,78,76,90,0.216,0.26,0.255,43,-106,-102,87,238,NA,NA,0.989,40,"C",-3.6,"not a member"
"KEN","BERRY",14,1383,4136,422,1053,150,23,58,343,298,500,0.255,0.309,0.344,90,-67,-54,425,255,84,7,0.989,-5,"O",-13.8,"not a member"
"CHARLIE","BERRY",11,709,2018,196,539,88,29,23,256,160,178,0.267,0.322,0.374,83,-62,-51,251,33,88,33,0.982,-12,"C",-2.2,"not a member"
"RENO","BERTOIA",10,612,1745,204,425,60,10,27,171,142,227,0.244,0.306,0.336,73,-63,-66,177,64,40,25,0.949,8,"3",-5.3,"not a member"
"BOB","BESCHER",11,1228,4536,749,1171,190,74,28,345,619,412,0.258,0.353,0.351,109,56,68,690,247,68,NA,0.96,9,"O",2,"not a member"
"KURT","BEVACQUA",15,970,2117,214,499,90,11,27,275,221,302,0.236,0.309,0.327,78,-60,-60,210,24,54,29,0.938,-42,"3",-11.8,"not a member"
"LOU","BIERBAUER",13,1383,5706,819,1521,208,95,33,706,268,79,0.267,0.301,0.354,85,-130,-126,701,115,NA,NA,0.935,151,"2",6.6,"not a member"
"CARSON","BIGBEE",11,1147,4192,629,1205,139,75,17,324,344,135,0.287,0.345,0.369,96,-2,-16,558,89,108,NA,0.966,50,"O",-4.6,"not a member"
"LARRY","BIITTNER",14,1217,3151,310,861,144,20,29,354,236,261,0.273,0.326,0.359,87,-37,-54,358,4,23,25,0.97,13,"O",-9,"not a member"
"STEVE","BILKO",10,600,1738,220,432,85,13,76,276,234,360,0.249,0.339,0.444,103,13,6,262,107,77,NA,0.992,22,"1",0.1,"not a member"
"JOSH","BILLINGS",11,243,488,44,106,12,5,0,29,23,607,0.217,0.268,0.262,47,-33,-36,40,268,2,NA,0.964,8,"C",-1.7,"not a member"
"MAX","BISHOP",12,1338,4494,966,1216,236,35,41,379,1153,413,0.271,0.423,0.366,102,109,77,789,249,89,10,0.976,-56,"2",5,"not a member"
"RAY","BLADES",10,767,2415,467,726,133,51,50,340,331,283,0.301,0.395,0.46,123,95,92,453,202,57,NA,0.963,-10,"O",3.4,"not a member"
"PAUL","BLAIR",17,1947,6042,776,1513,282,55,134,620,449,680,0.25,0.305,0.382,96,-49,-42,702,77,135,26,0.988,47,"O",-7.8,"not a member"
"DON","BLASINGAME",12,1444,5296,731,1366,178,62,21,308,552,422,0.258,0.33,0.327,78,-142,-149,610,10,100,25,0.979,-3,"2",-4.4,"not a member"
"JIMMY","BLOODWORTH",11,1002,3519,347,874,160,20,62,451,202,372,0.248,0.292,0.358,74,-134,-135,346,97,57,NA,0.975,64,"2",-3.1,"not a member"
"LU","BLUE",13,1615,5904,1151,1696,319,109,44,695,1092,400,0.287,0.402,0.401,109,119,125,1031,55,127,NA,0.989,1,"1",1.2,"not a member"
"OSSIE","BLUEGE",18,1867,6440,883,1751,276,67,43,848,723,463,0.272,0.352,0.356,85,-147,-126,847,45,127,30,0.957,4,"3",-2.2,"not a member"
"JOHN","BOCCABELLA",12,551,1462,117,320,56,5,26,148,96,222,0.219,0.269,0.317,62,-74,-77,122,183,110,22,0.984,15,"C",-7,"not a member"
"BRUCE","BOCHTE",12,1538,5233,643,1478,250,21,100,658,653,563,0.282,0.363,0.396,114,91,109,749,249,79,5,0.992,-30,"1",-1.1,"not a member"
"FRANK","BOLLING",12,1540,5562,692,1415,221,40,106,556,462,494,0.254,0.315,0.366,85,-108,-114,643,239,75,4,0.982,-98,"2",-10.2,"not a member"
"BOBBY","BONDS",14,1849,7043,1258,1886,302,66,332,1024,914,152,0.268,0.356,0.471,129,274,276,1224,259,43,57,0.977,89,"O",32.7,"not a member"
"BARRY","BONNELL",10,976,3068,363,833,143,24,56,355,229,354,0.272,0.325,0.389,89,-21,-46,374,299,76,25,0.982,-32,"O",-11.2,"not a member"
"RAY","BOONE",13,1373,4589,645,1260,162,46,151,737,608,423,0.275,0.363,0.429,115,84,95,731,118,51,26,0.958,-46,"3",5.4,"not a member"
"BOB","BOONE",19,2264,7245,679,1838,303,26,105,826,663,531,0.254,0.318,0.346,82,-160,-170,790,226,89,12,0.986,6,"C",-8.9,"not a member"
"FRENCHY","BORDAGARAY",11,930,2632,410,745,120,28,14,270,173,165,0.283,0.331,0.366,91,-32,-33,329,303,53,NA,0.982,-66,"O",-11.3,"not a member"
"THAD","BOSLEY",14,784,1581,183,430,50,12,20,158,143,249,0.272,0.333,0.357,89,-18,-22,194,262,59,1,0.972,-47,"O",-8.2,"not a member"
"KEN","BOSWELL",11,930,2517,266,625,91,19,31,244,240,214,0.248,0.316,0.337,85,-55,-49,259,167,44,13,0.979,-101,"2",-12.3,"not a member"
"JIM","BOTTOMLEY",16,1991,7471,1177,2313,465,151,219,1422,664,519,0.31,0.369,0.5,124,262,252,1384,288,40,NA,0.988,-120,"1",-2.3,"selected by members"
"LOU","BOUDREAU",15,1646,6029,861,1779,385,66,68,789,796,282,0.295,0.38,0.415,121,154,181,996,272,89,8,0.973,134,"S",40.4,"Select by writers"
"LARRY","BOWA",16,2247,8418,987,2191,262,99,15,525,474,500,0.26,0.301,0.32,71,-310,-341,836,194,9,54,0.98,-76,"S",-13.9,"not a member"
"FRANK","BOWERMAN",15,1045,3401,343,852,102,38,13,392,129,2,0.251,0.286,0.314,77,-103,-104,347,325,NA,NA,0.963,39,"C",0.8,"not a member"
"CLETE","BOYER",16,1725,5780,645,1396,200,33,162,654,470,704,0.242,0.301,0.372,87,-119,-111,635,243,63,26,0.965,233,"3",12.9,"not a member"
"KEN","BOYER",15,2034,7455,1104,2143,318,68,282,1141,713,13,0.287,0.351,0.462,115,207,162,1184,10,118,8,0.952,69,"3",20.3,"not a member"
"JACK","BOYLE",13,1086,4222,668,1067,137,53,24,528,328,209,0.253,0.315,0.32,74,-134,-161,505,28,NA,NA,0.929,-10,"C",-10,"not a member"
"BUDDY","BRADFORD",11,697,1605,224,363,50,8,52,175,184,377,0.226,0.313,0.364,91,-14,-19,185,218,59,25,0.971,-46,"O",-10,"not a member"
"BILL","BRADLEY",14,1461,5430,754,1471,275,84,33,552,290,157,0.271,0.317,0.371,108,36,44,753,88,NA,NA,0.933,28,"3",9.6,"not a member"
"JACKIE","BRANDT",11,1221,3895,540,1020,175,37,112,485,351,505,0.262,0.325,0.412,101,-7,1,520,255,66,25,0.98,-32,"O",-9,"not a member"
"KITTY","BRANSFIELD",12,1330,4999,529,1351,225,75,13,637,221,375,0.27,0.304,0.353,97,-24,-33,614,81,NA,NA,0.983,-18,"1",-7.8,"not a member"
"STEVE","BRAUN",15,1425,3650,466,989,155,19,52,388,579,397,0.271,0.373,0.367,108,72,61,532,255,62,22,0.973,-51,"O",-1,"not a member"
"ROGER","BRESNAHAN",17,1446,4481,682,1252,218,71,26,530,714,720,0.279,0.385,0.377,125,181,172,754,119,65,NA,0.971,-62,"C",19.6,"selected by members"
"RUBE","BRESSLER",19,1305,3881,544,1170,164,87,32,586,449,222,0.301,0.378,0.413,110,58,69,623,262,56,NA,0.971,-4,"O",-0.2,"not a member"
"EDDIE","BRESSOUD",12,1186,3672,443,925,184,40,94,365,359,605,0.252,0.321,0.401,96,-20,-24,474,335,30,26,0.963,-19,"S",2.8,"not a member"
"ROCKY","BRIDGES",11,919,2272,245,562,80,11,16,187,205,206,0.247,0.312,0.313,67,-96,-103,215,4,40,27,0.968,95,"S",3,"not a member"
"AL","BRIDWELL",11,1252,4169,457,1064,95,32,2,348,557,718,0.255,0.347,0.295,90,-17,-30,499,40,NA,NA,0.939,23,"S",5.4,"not a member"
"JOHN","BRIGGS",12,1366,4117,601,1041,170,43,139,507,663,636,0.253,0.357,0.416,121,116,121,643,299,87,3,0.973,10,"O",6.2,"not a member"
"ED","BRINKMAN",15,1845,6045,550,1355,201,38,60,461,444,665,0.224,0.282,0.3,65,-276,-275,497,184,72,5,0.97,94,"S",-1.4,"not a member"
"GREG","BROCK",10,1013,3202,420,794,141,6,110,462,434,428,0.248,0.34,0.399,105,21,25,446,243,48,44,0.994,29,"1",-0.6,"not a member"
"LOU","BROCK",19,2616,10332,1610,3023,486,141,149,900,761,149,0.293,0.344,0.41,109,135,114,1512,341,67,75,0.959,-98,"O",-0.5,"Select by writers"
"STEVE","BRODIE",12,1437,5699,886,1726,191,89,25,900,420,114,0.303,0.364,0.381,104,56,31,938,177,NA,NA,0.959,48,"O",-0.6,"not a member"
"TOM","BROOKENS",12,1336,3865,477,950,175,40,71,431,281,528,0.246,0.299,0.367,83,-99,-95,417,330,100,3,0.943,49,"3",-6,"not a member"
"DAN","BROUTHERS",19,1673,6711,1523,2296,460,205,106,1296,840,213,0.342,0.423,0.519,171,648,631,1624,156,NA,NA,0.971,-18,"1",43.7,"selected by members"
"LARRY","BROWN",12,1129,3449,331,803,108,13,47,254,317,380,0.233,0.301,0.313,76,-102,-103,324,126,58,28,0.964,-34,"S",-6.9,"not a member"
"OLLIE","BROWN",13,1221,3642,404,964,144,11,102,454,314,536,0.265,0.326,0.394,103,3,11,455,184,62,28,0.977,-1,"O",-4.3,"not a member"
"TOM","BROWN",17,1786,7363,1521,1952,239,138,64,529,748,594,0.265,0.337,0.361,103,4,34,1161,302,NA,NA,0.89,38,"O",0.7,"not a member"
"GATES","BROWN",13,1051,2262,330,582,78,19,84,322,242,249,0.257,0.333,0.42,109,37,28,324,184,121,59,0.977,3,"O",2,"not a member"
"GEORGE","BROWNE",12,1102,4300,614,1176,119,55,18,303,259,3,0.273,0.317,0.339,100,0,-7,549,98,NA,NA,0.927,-32,"O",-10.4,"not a member"
"PETE","BROWNING",13,1183,4820,954,1646,295,85,46,353,466,140,0.341,0.403,0.467,166,368,388,1048,157,NA,NA,0.883,-16,"O",29.6,"not a member"
"BILL","BRUBAKER",10,479,1564,208,413,85,10,22,225,151,214,0.264,0.333,0.373,90,-19,-20,200,33,NA,NA,0.938,2,"3",-0.6,"not a member"
"BILL","BRUTON",12,1610,6056,937,1651,241,102,94,545,482,641,0.273,0.329,0.393,96,-65,-38,801,116,130,74,0.981,68,"O",-3.8,"not a member"
"BILL","BUCKNER",22,2517,9397,1077,2715,498,49,174,1208,450,414,0.289,0.324,0.408,99,-2,-27,1190,90,114,35,0.992,106,"1",-3.5,"not a member"
"DON","BUFORD",10,1286,4553,718,1203,157,44,93,418,672,506,0.264,0.364,0.379,115,98,109,686,109,9,22,0.988,-15,"O",9,"not a member"
"AL","BUMBRY",14,1496,5053,778,1422,220,52,54,402,471,595,0.281,0.345,0.378,104,14,33,692,154,134,46,0.986,-31,"O",-2.3,"not a member"
"JACK","BURDOCK",14,960,3873,578,944,131,40,15,390,128,278,0.244,0.27,0.31,84,-70,-70,354,195,NA,NA,0.912,13,"2",-2.1,"not a member"
"SMOKY","BURGESS",18,1691,4471,485,1318,230,33,126,673,477,245,0.295,0.364,0.446,116,112,105,722,33,37,NA,0.988,-96,"C",5.7,"not a member"
"JESSE","BURKETT",16,2066,8421,1720,2850,320,182,75,952,1029,207,0.338,0.415,0.446,141,514,493,1803,233,NA,NA,0.917,-18,"O",30.4,"selected by members"
"RICK","BURLESON",13,1346,5139,656,1401,256,23,50,449,420,434,0.273,0.331,0.361,87,-49,-91,599,311,108,12,0.971,86,"S",11.6,"not a member"
"GEORGE-TIOGA","BURNS",16,1866,6573,901,2018,444,72,72,951,363,397,0.307,0.354,0.429,112,104,93,1017,58,103,NA,0.987,0,"1",0.9,"not a member"
"GEORGE","BURNS",15,1853,7241,1188,2077,362,108,41,611,872,498,0.287,0.366,0.384,115,143,156,1085,230,36,NA,0.97,32,"O",5.1,"not a member"
"TOM","BURNS",13,1251,4920,722,1299,236,69,39,683,270,415,0.264,0.303,0.364,96,12,-44,610,67,NA,NA,0.886,16,"3",0.7,"not a member"
"OYSTER","BURNS",11,1187,4637,869,1389,224,129,65,673,464,161,0.3,0.368,0.446,138,199,222,891,162,NA,NA,0.92,-73,"O",10.3,"not a member"
"JEFF","BURROUGHS",16,1689,5536,720,1443,230,20,240,882,831,46,0.261,0.359,0.439,120,177,164,892,64,57,29,0.974,-58,"O",4.4,"not a member"
"JIM","BUSBY",13,1352,4250,541,1113,162,35,48,438,310,403,0.262,0.316,0.35,82,-121,-109,481,345,86,32,0.988,25,"O",-13.5,"not a member"
"DONIE","BUSH",16,1946,7210,1280,1804,186,74,9,436,1158,317,0.25,0.356,0.3,91,-32,-40,911,241,116,NA,0.936,5,"S",7.9,"not a member"
"DOC","BUSHONG",12,671,2392,287,511,58,12,2,106,124,715,0.214,0.254,0.25,56,-111,-126,172,234,NA,NA,0.916,65,"C",-1.1,"not a member"
"BOBBY","BYRNE",11,1283,4831,667,1225,186,60,10,329,456,199,0.254,0.324,0.323,91,-45,-48,572,82,23,NA,0.934,3,"3",-2.3,"not a member"
"ENOS","CABELL",15,1688,5952,753,1647,263,56,60,596,259,584,0.277,0.309,0.37,93,-108,-68,646,141,27,22,0.944,-76,"3",-20.2,"not a member"
"NIXEY","CALLAHAN",13,923,3295,442,901,135,46,11,394,159,689,0.273,0.311,0.352,94,-44,-33,439,93,NA,NA,0.953,-35,"O",-9.4,"not a member"
"JOHNNY","CALLISON",16,1886,6652,926,1757,321,89,226,840,650,29,0.264,0.333,0.441,114,123,120,992,316,90,29,0.984,102,"O",12.8,"not a member"
"DOLPH","CAMILLI",12,1490,5353,936,1482,261,86,239,950,947,713,0.277,0.388,0.492,134,319,277,1111,294,2,NA,0.99,2,"1",14.4,"not a member"
"ROY","CAMPANELLA",10,1215,4205,627,1161,178,18,242,856,533,452,0.276,0.362,0.5,123,159,139,759,150,40,NA,0.988,32,"C",21.9,"Select by writers"
"BERT","CAMPANERIS",19,2328,8684,1181,2249,313,86,79,646,618,50,0.259,0.313,0.342,89,-154,-123,992,300,52,72,0.964,-102,"S",8.9,"not a member"
